Date,Fuel_Type,Liters_Sold,Price_per_Liter,Payment_Mode,Location,Pump_ID,Customer_Age,Vehicle_Type,Stock_Level,Pump_Efficiency,Maintenance_Issue,Maintenance_Cost,Total_Sales
5/3/2024,Diesel,583,101.31,Card,Pune,BP003,24,Bike,1444,81.58,Motor Fault,1144.29,59063.73
7/5/2024,Petrol,167,101.8,Cash,Nashik,BP001,45,Car,3978,97.8,Sensor Error,954.84,17000.6
11/21/2024,Diesel,491,106.34,UPI,Aurangabad,BP003,36,Bike,3279,89.56,Low Pressure,2594.98,52212.94
12/14/2024,CNG,408,94.8,Cash,Nashik,BP002,37,Truck,4929,97.38,Leak,3362.56,38678.4
9/15/2024,Petrol,82,110.74,UPI,Aurangabad,BP003,61,Auto,4950,95,Leak,221.66,9080.68
5/27/2024,Diesel,458,95.03,Cash,Pune,BP001,56,Truck,1696,90.63,Leak,1105.33,43523.74
9/8/2024,CNG,527,99.31,Cash,Nagpur,BP003,57,Bike,1712,80.68,Low Pressure,2278.42,52336.37
12/11/2024,CNG,117,105.1,Card,Aurangabad,BP002,24,Truck,1323,77.23,Leak,1655.02,12296.7
5/26/2024,Diesel,309,113.89,Card,Nagpur,BP001,23,Truck,2396,76.67,Sensor Error,3563.11,35192.01
5/27/2024,Petrol,354,112.18,Card,Nashik,BP002,42,Auto,4763,98.57,Low Pressure,2555.8,39711.72
12/17/2024,Diesel,207,109.37,Cash,Pune,BP003,58,Bike,2915,98.76,Leak,801.8,22639.59
7/17/2024,CNG,378,94.67,Cash,Aurangabad,BP004,30,Bike,1035,91.74,None,4472.33,35785.26
11/3/2024,Diesel,232,106.41,Cash,Nashik,BP002,56,Bike,3510,96.51,Low Pressure,1464.53,24687.12
5/7/2024,Petrol,492,92.62,UPI,Mumbai,BP003,57,Car,3127,97.57,Low Pressure,3655.66,45569.04
2/8/2024,CNG,322,101.32,UPI,Nashik,BP004,39,Truck,4277,85.35,Motor Fault,3899.58,32625.04
12/3/2024,Diesel,375,102.41,Cash,Nagpur,BP004,34,Bike,1449,88.87,Leak,4815.79,38403.75
12/25/2024,Petrol,429,91.19,Card,Pune,BP001,39,Truck,4008,82.56,None,2492.54,39120.51
5/8/2024,CNG,564,98.22,Card,Pune,BP004,51,Auto,4802,82.55,Sensor Error,3079.18,55396.08
9/23/2024,Petrol,279,118.67,Card,Nashik,BP002,25,Auto,1043,71.15,Low Pressure,1674.38,33108.93
5/30/2024,CNG,522,118.61,Cash,Mumbai,BP002,62,Car,4400,83.01,Sensor Error,3390.9,61914.42
10/24/2024,Diesel,594,100.57,Card,Nagpur,BP004,35,Car,4253,90.2,Sensor Error,2316.92,59738.58
4/8/2024,Petrol,497,91.29,Cash,Nashik,BP003,41,Auto,4724,82.66,Sensor Error,2188.26,45371.13
9/19/2024,CNG,128,95.37,UPI,Nashik,BP002,59,Bike,2582,96.17,Motor Fault,4277.34,12207.36
9/8/2024,Petrol,134,101.77,Card,Pune,BP002,19,Auto,3366,79.98,Sensor Error,250.84,13637.18
5/23/2024,Petrol,491,118.43,UPI,Nagpur,BP001,19,Truck,2746,73.98,Leak,4409.81,58149.13
12/11/2024,Diesel,467,94.24,Card,Mumbai,BP003,44,Car,2336,94.35,Leak,4260.35,44010.08
4/21/2024,Petrol,190,112.91,Cash,Pune,BP004,31,Car,576,90.22,None,2531.83,21452.9
2/29/2024,CNG,553,93.26,Cash,Nashik,BP003,56,Auto,868,77.25,None,2451.01,51572.78
1/2/2024,CNG,415,119.44,Cash,Pune,BP001,29,Bike,848,86.09,Sensor Error,1809.04,49567.6
10/30/2024,CNG,61,101.45,Cash,Pune,BP001,49,Bike,4833,82.06,Sensor Error,4970.87,6188.45
9/10/2024,CNG,352,113.26,Card,Aurangabad,BP003,45,Truck,1955,98.17,Motor Fault,555.85,39867.52
5/19/2024,Diesel,558,100.28,UPI,Pune,BP001,45,Car,2685,88.22,Sensor Error,2951.08,55956.24
2/6/2024,Petrol,245,108.83,Cash,Pune,BP001,63,Auto,4311,74.75,Sensor Error,3408.41,26663.35
6/8/2024,Diesel,414,95.76,Card,Nagpur,BP001,42,Auto,3772,85.06,Sensor Error,4671.65,39644.64
1/9/2024,Petrol,490,94.38,UPI,Pune,BP003,21,Car,4182,95.88,Low Pressure,3901.02,46246.2
8/20/2024,Petrol,218,118.14,Cash,Mumbai,BP001,43,Auto,2346,90.14,Low Pressure,3219.24,25754.52
4/8/2024,Petrol,249,117.53,UPI,Nashik,BP004,53,Car,2354,95.27,Motor Fault,584.06,29264.97
5/26/2024,Diesel,539,116.62,Cash,Nagpur,BP004,20,Bike,3485,77.51,Motor Fault,1868.67,62858.18
10/30/2024,Petrol,503,108.76,UPI,Pune,BP002,18,Bike,4950,96.65,Leak,694.21,54706.28
7/26/2024,Diesel,163,114.25,UPI,Mumbai,BP004,34,Auto,3125,92.67,Motor Fault,4406.06,18622.75
5/10/2024,CNG,152,92.07,Cash,Nashik,BP002,24,Bike,3394,91.87,Leak,3748.11,13994.64
5/31/2024,CNG,51,100.04,Card,Nagpur,BP003,22,Bike,1058,80.4,Sensor Error,3787.68,5102.04
2/23/2024,Petrol,165,99.41,UPI,Mumbai,BP001,36,Truck,3396,96.63,Motor Fault,3261.28,16402.65
4/29/2024,Diesel,370,109.07,Cash,Pune,BP004,56,Car,2417,89.14,Motor Fault,2535.22,40355.9
6/9/2024,CNG,322,100.68,UPI,Aurangabad,BP002,63,Car,1754,95.56,Motor Fault,749.86,32418.96
4/25/2024,Diesel,179,94.46,UPI,Aurangabad,BP003,51,Auto,2181,80.83,Leak,1648.47,16908.34
3/15/2024,Diesel,440,107.89,Card,Nagpur,BP002,52,Car,2314,74.37,Leak,684.58,47471.6
4/22/2024,Petrol,136,114.43,UPI,Mumbai,BP001,33,Truck,1162,79.97,None,3624.57,15562.48
4/13/2024,CNG,556,101.46,UPI,Nashik,BP004,57,Auto,4616,83.66,Leak,801.14,56411.76
12/5/2024,Petrol,108,93.97,Cash,Mumbai,BP003,64,Auto,3825,86,Leak,3510.57,10148.76
9/10/2024,Petrol,157,95.9,Cash,Aurangabad,BP002,56,Car,1741,85.32,Low Pressure,3461.28,15056.3
8/14/2024,CNG,98,97.12,Card,Nagpur,BP003,44,Bike,3643,86.38,Motor Fault,2296.52,9517.76
4/21/2024,CNG,72,99,UPI,Pune,BP002,58,Bike,3537,95.25,Leak,676.14,7128
4/8/2024,Diesel,357,109.28,UPI,Mumbai,BP002,55,Bike,661,75.1,Motor Fault,1574,39012.96
6/1/2024,CNG,89,108.03,UPI,Aurangabad,BP001,42,Bike,4725,79.48,Motor Fault,1600.47,9614.67
12/14/2024,Diesel,528,110.88,Card,Nashik,BP001,43,Truck,2450,96.66,Low Pressure,3501.93,58544.64
12/3/2024,Diesel,58,100.88,UPI,Nagpur,BP002,31,Auto,4820,86.81,Motor Fault,568.72,5851.04
7/12/2024,Diesel,236,114.72,Cash,Pune,BP004,31,Bike,2281,87.5,Leak,4145.34,27073.92
11/5/2024,CNG,489,96.12,Card,Mumbai,BP003,31,Truck,1977,84.34,Motor Fault,3805.04,47002.68
6/11/2024,Petrol,598,104.07,Cash,Nashik,BP003,42,Auto,3530,86.47,None,931.53,62233.86
7/26/2024,Diesel,491,114.03,Cash,Pune,BP001,53,Car,4486,75.94,None,3595.82,55988.73
6/17/2024,Petrol,328,95.4,Card,Aurangabad,BP004,21,Car,606,86.41,Low Pressure,3342.57,31291.2
6/9/2024,Petrol,180,93.3,Cash,Aurangabad,BP002,64,Truck,3168,99.92,Leak,3740.6,16794
3/8/2024,CNG,123,116.51,UPI,Nashik,BP001,32,Auto,1664,86.98,Low Pressure,944.64,14330.73
10/15/2024,Petrol,430,100.29,Card,Aurangabad,BP002,49,Bike,1657,71.33,None,787.95,43124.7
10/3/2024,Petrol,254,110.52,Cash,Nagpur,BP002,35,Auto,2746,93.89,Leak,1182.42,28072.08
10/30/2024,CNG,565,90.76,UPI,Nashik,BP001,31,Bike,1166,81.89,Motor Fault,1829.36,51279.4
5/14/2024,Diesel,254,110.7,UPI,Aurangabad,BP004,18,Truck,2626,74.61,Leak,3968.32,28117.8
7/13/2024,Petrol,442,99.48,Cash,Mumbai,BP003,59,Bike,3441,95.88,Sensor Error,3689.62,43970.16
5/7/2024,CNG,167,91.67,UPI,Aurangabad,BP001,37,Truck,1011,75.94,Leak,4627.26,15308.89
2/2/2024,Petrol,516,108.29,Card,Nagpur,BP004,27,Auto,749,97.62,Motor Fault,293.15,55877.64
6/24/2024,Petrol,443,97.22,Cash,Pune,BP002,27,Auto,1388,83.25,Sensor Error,57.78,43068.46
1/22/2024,Diesel,68,101.6,UPI,Pune,BP001,41,Bike,1523,92.28,Low Pressure,3495.69,6908.8
8/25/2024,Petrol,377,92.42,UPI,Aurangabad,BP003,51,Auto,1099,86.41,Leak,1396.44,34842.34
6/6/2024,CNG,400,94.41,Cash,Pune,BP003,45,Bike,3522,77.7,Low Pressure,1670.39,37764
2/7/2024,Petrol,431,98.94,Cash,Aurangabad,BP002,44,Auto,3030,90.13,Leak,2734.01,42643.14
8/17/2024,Diesel,257,92.69,Cash,Nagpur,BP001,57,Car,3383,98.74,None,512.07,23821.33
12/30/2024,Diesel,241,117.32,Cash,Pune,BP003,18,Bike,2564,93.09,None,3213.47,28274.12
2/20/2024,CNG,56,90.18,Card,Mumbai,BP001,50,Truck,2258,88.12,Motor Fault,1625.74,5050.08
9/20/2024,Diesel,361,104.52,Cash,Aurangabad,BP003,21,Car,4069,99.72,None,3163.58,37731.72
10/9/2024,Petrol,557,93.7,Card,Pune,BP002,24,Truck,1742,77.96,Sensor Error,4170.03,52190.9
1/27/2024,Diesel,364,99.23,Card,Nagpur,BP002,26,Auto,4829,71.87,Sensor Error,855.56,36119.72
8/13/2024,CNG,451,117.78,Cash,Nagpur,BP001,33,Car,2795,70.96,Leak,4654.37,53118.78
10/3/2024,Diesel,357,94.85,Card,Mumbai,BP004,22,Auto,2425,91.32,Low Pressure,2653.44,33861.45
10/12/2024,Diesel,121,118.97,Cash,Nagpur,BP004,51,Bike,2562,94.91,Sensor Error,4614.64,14395.37
4/6/2024,Diesel,513,96.17,Cash,Nagpur,BP002,40,Truck,3895,89.05,Leak,1038.65,49335.21
10/10/2024,CNG,507,112.25,UPI,Pune,BP003,60,Auto,940,97.15,Low Pressure,3022.81,56910.75
11/12/2024,Diesel,464,106.4,Cash,Aurangabad,BP004,42,Truck,3243,90.94,None,2019.44,49369.6
10/30/2024,Diesel,243,116.53,UPI,Nashik,BP002,30,Truck,506,81.13,Leak,3871.11,28316.79
5/26/2024,Petrol,426,106.62,Card,Nagpur,BP003,41,Auto,2086,75.44,Low Pressure,3029.54,45420.12
1/4/2024,CNG,137,106.04,UPI,Nagpur,BP003,28,Bike,1325,97.74,Motor Fault,2472.58,14527.48
2/4/2024,Diesel,384,95.86,Card,Nashik,BP004,34,Truck,4324,73.11,Motor Fault,4564.93,36810.24
7/10/2024,CNG,247,94.99,Cash,Nagpur,BP002,54,Auto,1768,86.29,Sensor Error,1885.59,23462.53
2/18/2024,Diesel,553,117.49,Card,Pune,BP003,30,Bike,3936,79.42,Low Pressure,1099.9,64971.97
1/17/2024,Diesel,205,99.84,Card,Pune,BP003,44,Auto,3938,78.14,Motor Fault,3040.51,20467.2
6/20/2024,Diesel,61,101.16,Cash,Nashik,BP001,37,Bike,1810,89.38,Sensor Error,3120.14,6170.76
8/7/2024,Petrol,193,112.79,Card,Nagpur,BP001,50,Truck,4533,76.94,Leak,2195.47,21768.47
6/6/2024,Petrol,478,100.16,Cash,Nagpur,BP004,59,Car,2127,97.49,Leak,2433.05,47876.48
2/15/2024,Petrol,334,118.56,UPI,Aurangabad,BP001,49,Auto,1536,82.18,Low Pressure,4797.77,39599.04
1/6/2024,CNG,258,112.14,Cash,Nagpur,BP002,25,Truck,977,90.32,Low Pressure,3663.43,28932.12
4/8/2024,CNG,534,107.92,Cash,Pune,BP004,46,Auto,3178,91.83,Low Pressure,553.01,57629.28
8/20/2024,Petrol,269,116.43,Card,Mumbai,BP004,57,Auto,1214,90.49,Low Pressure,1060.65,31319.67
2/6/2024,CNG,59,91.49,UPI,Mumbai,BP001,36,Bike,2176,97.1,Motor Fault,4877.88,5397.91
10/6/2024,Diesel,592,97.71,Cash,Mumbai,BP003,23,Auto,2662,76.93,Motor Fault,3632.33,57844.32
12/14/2024,Diesel,187,103.95,UPI,Mumbai,BP002,61,Bike,1008,72.58,Sensor Error,4575.23,19438.65
10/28/2024,Diesel,147,96.81,UPI,Nagpur,BP002,56,Truck,881,71.66,Motor Fault,1519.31,14231.07
6/29/2024,Petrol,442,112.32,Card,Nagpur,BP002,58,Auto,1680,96.34,Leak,3709.33,49645.44
4/4/2024,CNG,522,117.58,Cash,Aurangabad,BP004,38,Truck,2345,99.2,Sensor Error,3570.01,61376.76
4/8/2024,Petrol,406,102.71,Card,Nagpur,BP002,39,Car,4870,79.08,Motor Fault,1473.45,41700.26
7/6/2024,CNG,453,100.26,Cash,Mumbai,BP003,59,Truck,2218,90.81,Low Pressure,2754.08,45417.78
4/25/2024,Diesel,348,118.85,UPI,Nashik,BP003,27,Auto,1600,70.27,Motor Fault,3137.08,41359.8
7/9/2024,Petrol,173,103.35,Cash,Nashik,BP001,27,Car,2360,75.66,None,2405.66,17879.55
9/9/2024,CNG,322,104.67,Cash,Pune,BP002,46,Bike,2591,90.68,Sensor Error,4135.89,33703.74
6/9/2024,CNG,112,100.55,UPI,Pune,BP004,33,Car,1217,71.98,Motor Fault,4164.35,11261.6
9/12/2024,Diesel,520,117.29,UPI,Nagpur,BP001,18,Auto,817,84.06,Motor Fault,4253,60990.8
11/18/2024,Petrol,391,107.07,Cash,Nashik,BP003,34,Auto,2276,89.88,Leak,4017.12,41864.37
5/7/2024,Petrol,599,112.87,Card,Mumbai,BP002,47,Truck,2784,92.98,Low Pressure,2440.42,67609.13
1/18/2024,Petrol,365,114.35,Cash,Mumbai,BP003,43,Bike,1744,83.61,Low Pressure,1907.19,41737.75
10/7/2024,Diesel,482,100.26,UPI,Mumbai,BP001,63,Auto,1833,88.91,Leak,4156.88,48325.32
8/10/2024,Petrol,139,103.01,Card,Nagpur,BP003,36,Auto,4169,86.19,Leak,2451.01,14318.39
2/23/2024,Diesel,98,115.45,UPI,Nagpur,BP002,38,Bike,1700,71.57,None,1231.86,11314.1
2/27/2024,Diesel,547,100.9,UPI,Aurangabad,BP002,34,Bike,2294,92.28,Sensor Error,2536.72,55192.3
11/18/2024,Diesel,297,113.82,Card,Mumbai,BP001,63,Truck,3201,75.17,Low Pressure,709.25,33804.54
12/25/2024,CNG,452,118.23,UPI,Mumbai,BP002,57,Car,1954,70.95,Leak,3458.15,53439.96
6/22/2024,Petrol,491,108.7,UPI,Nagpur,BP003,38,Bike,2433,83.54,Leak,1679.61,53371.7
10/6/2024,Petrol,104,112.25,UPI,Nagpur,BP003,58,Auto,1246,95.97,Sensor Error,1303.29,11674
4/23/2024,Diesel,193,114.15,UPI,Aurangabad,BP004,57,Bike,1340,74.52,Leak,4782.54,22030.95
10/14/2024,Diesel,305,115.35,UPI,Aurangabad,BP004,62,Auto,2995,70.39,None,3884.4,35181.75
12/7/2024,Petrol,118,101.85,UPI,Pune,BP004,36,Truck,1588,73.3,Sensor Error,3935.35,12018.3
5/30/2024,Diesel,354,91.54,UPI,Nashik,BP003,24,Car,1292,80.91,None,3118.61,32405.16
5/6/2024,Petrol,599,102.06,UPI,Mumbai,BP003,34,Truck,1767,87.41,Motor Fault,4195.86,61133.94
6/3/2024,CNG,287,110.21,UPI,Mumbai,BP001,18,Bike,2050,75.79,Low Pressure,3795.81,31630.27
9/29/2024,Diesel,453,103.51,Cash,Aurangabad,BP004,54,Auto,3190,94.06,Leak,2993.87,46890.03
4/13/2024,Petrol,64,112.47,Cash,Aurangabad,BP003,23,Bike,792,92.6,Sensor Error,4805.62,7198.08
10/25/2024,Diesel,323,100.71,UPI,Pune,BP001,43,Bike,4522,90.88,None,957.97,32529.33
9/2/2024,Petrol,488,109.04,Cash,Nashik,BP003,19,Bike,1904,84.62,Low Pressure,4716.9,53211.52
6/24/2024,Petrol,340,95.59,Card,Pune,BP001,49,Bike,2148,80.96,Low Pressure,2007.19,32500.6
2/8/2024,Diesel,107,112.48,Cash,Nashik,BP004,22,Car,3316,81.27,Leak,2641.99,12035.36
6/18/2024,CNG,46,106.37,UPI,Mumbai,BP004,54,Auto,4410,85.09,Low Pressure,613.7,4893.02
9/3/2024,Petrol,176,96.12,UPI,Pune,BP004,48,Bike,3418,72.32,Leak,2700.54,16917.12
1/26/2024,Petrol,203,98.76,Cash,Aurangabad,BP003,29,Auto,1897,90.47,Motor Fault,3056.03,20048.28
12/20/2024,Petrol,122,112.46,UPI,Pune,BP003,52,Car,2193,80.55,Leak,4988.51,13720.12
11/1/2024,CNG,459,104.48,Card,Pune,BP001,47,Auto,1537,76.74,None,4875.96,47956.32
1/13/2024,CNG,112,96.48,Card,Mumbai,BP002,23,Auto,4352,78.35,Low Pressure,4831.99,10805.76
11/11/2024,Diesel,276,119.02,UPI,Aurangabad,BP002,32,Car,2062,75.41,Low Pressure,1741.94,32849.52
11/8/2024,CNG,85,111.45,Card,Aurangabad,BP004,32,Bike,1612,97.05,Low Pressure,4956.33,9473.25
2/5/2024,Diesel,301,118.71,Card,Nagpur,BP002,33,Auto,1791,75.07,Leak,2277.39,35731.71
6/21/2024,Diesel,215,102.81,Cash,Nagpur,BP004,37,Truck,1661,96.49,Sensor Error,4259.18,22104.15
1/20/2024,CNG,205,104.25,Card,Nagpur,BP001,30,Auto,1529,87.17,Leak,1081.6,21371.25
11/16/2024,Diesel,409,116.94,Cash,Mumbai,BP002,61,Bike,4837,96.02,None,2529.17,47828.46
9/20/2024,CNG,93,105.75,UPI,Pune,BP002,59,Truck,4757,84.22,Leak,4830.06,9834.75
5/21/2024,Diesel,458,111.22,Cash,Aurangabad,BP004,63,Bike,3239,97.83,Low Pressure,4735.16,50938.76
5/22/2024,CNG,546,97.57,UPI,Aurangabad,BP001,48,Auto,1478,76.34,Motor Fault,3418.67,53273.22
4/1/2024,CNG,380,103.4,UPI,Pune,BP002,51,Car,1017,86.64,None,3989.07,39292
12/19/2024,Diesel,166,93.7,UPI,Aurangabad,BP002,46,Bike,1282,73.78,Motor Fault,882.13,15554.2
11/17/2024,Petrol,448,96.18,UPI,Pune,BP002,20,Bike,3331,83.42,None,3608.29,43088.64
10/14/2024,Diesel,406,90.03,UPI,Mumbai,BP001,26,Car,4680,87.1,None,3090.25,36552.18
8/2/2024,CNG,310,91.18,Cash,Mumbai,BP001,28,Auto,637,88.17,Low Pressure,457.76,28265.8
12/7/2024,Petrol,418,119.32,UPI,Mumbai,BP002,28,Bike,1253,80.97,Leak,565.8,49875.76
2/20/2024,Diesel,112,97.27,Card,Pune,BP004,42,Auto,3453,72.29,Low Pressure,542.22,10894.24
6/1/2024,Diesel,287,109.9,Card,Pune,BP004,39,Auto,2955,89.66,Low Pressure,3621.78,31541.3
7/4/2024,Diesel,82,115.17,UPI,Nashik,BP002,59,Auto,3334,84.65,Low Pressure,708.58,9443.94
3/3/2024,Petrol,416,106.52,Card,Aurangabad,BP001,63,Car,1079,74.11,Motor Fault,2338.66,44312.32
7/8/2024,CNG,80,94.59,Cash,Aurangabad,BP002,26,Auto,3755,98.08,None,1784.91,7567.2
5/4/2024,Diesel,209,111.84,Cash,Nashik,BP001,37,Auto,3766,98.67,Sensor Error,2752.52,23374.56
5/29/2024,Diesel,251,108.01,UPI,Nashik,BP002,38,Truck,895,95.7,Leak,3532.38,27110.51
11/9/2024,Diesel,532,111.94,UPI,Mumbai,BP001,27,Truck,2437,95.32,Low Pressure,3423.61,59552.08
2/27/2024,Diesel,78,113.09,UPI,Nashik,BP003,39,Truck,3089,72.96,None,2577.6,8821.02
12/7/2024,Diesel,408,119.26,Card,Pune,BP004,46,Bike,3534,99.8,Leak,2321.67,48658.08
10/31/2024,CNG,190,107.21,Card,Nagpur,BP003,26,Bike,669,82.01,Sensor Error,1989.08,20369.9
6/28/2024,CNG,150,100.25,Cash,Pune,BP004,22,Truck,2837,74.89,Sensor Error,4309.55,15037.5
6/18/2024,Diesel,519,109.45,Card,Nashik,BP001,57,Car,3739,94.36,Low Pressure,1654.26,56804.55
11/21/2024,Petrol,475,92.05,Cash,Aurangabad,BP003,28,Car,3915,76.77,Sensor Error,1296.83,43723.75
9/27/2024,CNG,86,116.92,Card,Pune,BP004,18,Truck,4068,85.79,Sensor Error,3716.58,10055.12
2/23/2024,Petrol,405,93.58,Cash,Aurangabad,BP002,59,Bike,3716,73.84,Leak,1798.82,37899.9
4/10/2024,CNG,108,99.84,UPI,Pune,BP001,18,Bike,3984,84.24,Leak,4234.99,10782.72
9/20/2024,Diesel,338,114.47,Card,Aurangabad,BP001,56,Car,2341,86.74,Low Pressure,1639.44,38690.86
2/22/2024,CNG,335,107.92,Cash,Pune,BP002,63,Auto,4260,83.38,None,3509.72,36153.2
2/29/2024,Diesel,242,101.81,Card,Aurangabad,BP002,22,Car,3526,72.08,Low Pressure,225.55,24638.02
4/17/2024,CNG,100,104.2,UPI,Nagpur,BP004,39,Auto,4465,84.55,Motor Fault,1927.81,10420
1/5/2024,Diesel,353,115.64,Cash,Mumbai,BP001,43,Bike,2101,84.07,Sensor Error,1716.15,40820.92
4/12/2024,Diesel,200,100.2,Card,Pune,BP004,23,Bike,1646,77.85,None,4083.39,20040
7/14/2024,Diesel,370,116.09,Card,Nagpur,BP002,49,Truck,4826,97.65,Leak,4835.28,42953.3
9/18/2024,Diesel,567,92.64,UPI,Mumbai,BP001,28,Bike,3184,82.53,Motor Fault,2304.41,52526.88
12/30/2024,Petrol,377,113.3,UPI,Pune,BP002,27,Auto,611,95.92,Motor Fault,4124.18,42714.1
12/15/2024,Diesel,343,115.43,Cash,Nagpur,BP004,64,Car,1092,73.29,Sensor Error,3498.47,39592.49
2/16/2024,Petrol,542,95.45,Card,Nagpur,BP004,56,Truck,2939,79.57,Leak,4836.93,51733.9
12/20/2024,Petrol,377,102.91,Card,Nagpur,BP004,51,Auto,1738,75.29,None,4055.54,38797.07
11/6/2024,Diesel,589,94.96,UPI,Nashik,BP001,48,Car,3294,82.25,Leak,387.39,55931.44
11/3/2024,Petrol,314,111.2,UPI,Aurangabad,BP002,29,Car,2914,73.35,Sensor Error,3566.41,34916.8
5/23/2024,CNG,203,106.06,Cash,Mumbai,BP002,61,Car,2629,83.23,Motor Fault,2677.5,21530.18
9/25/2024,Diesel,482,109.06,Card,Aurangabad,BP004,33,Bike,3353,80.62,Sensor Error,82.18,52566.92
5/3/2024,Petrol,358,95.89,Card,Aurangabad,BP004,55,Car,3369,76.7,Low Pressure,1256.56,34328.62
4/15/2024,Diesel,543,96.35,Cash,Aurangabad,BP004,20,Bike,4098,89.27,Motor Fault,4608.78,52318.05
6/6/2024,Diesel,426,91.24,Cash,Nagpur,BP004,19,Car,4303,98.53,Sensor Error,4630.31,38868.24
5/26/2024,Diesel,533,99.66,UPI,Aurangabad,BP003,22,Car,2026,76.21,None,3994.25,53118.78
5/24/2024,Petrol,529,106.79,UPI,Nashik,BP003,28,Bike,2469,91.35,None,4908.9,56491.91
4/29/2024,CNG,112,115.74,Cash,Pune,BP003,42,Bike,1451,92.27,None,4032.73,12962.88
11/14/2024,CNG,548,110.01,Cash,Nagpur,BP004,52,Auto,2002,84.94,Low Pressure,51.02,60285.48
10/1/2024,Petrol,429,103.06,Card,Mumbai,BP004,52,Car,4967,96.93,Leak,1439.17,44212.74
4/1/2024,Diesel,334,118.59,Cash,Pune,BP002,39,Bike,3836,98.99,None,153.12,39609.06
2/27/2024,Petrol,408,111.58,Cash,Pune,BP001,54,Auto,609,80.87,Low Pressure,470.54,45524.64
12/11/2024,Petrol,588,117.9,Card,Pune,BP002,39,Auto,4486,89.53,None,1094.2,69325.2
8/16/2024,Petrol,226,105.83,Cash,Aurangabad,BP003,28,Bike,2854,89.87,Low Pressure,2517.79,23917.58
4/26/2024,Diesel,484,97.77,UPI,Aurangabad,BP002,49,Car,725,82.11,None,4237.66,47320.68
11/13/2024,Petrol,402,91.58,UPI,Nagpur,BP004,52,Auto,3511,79.5,Leak,4309.83,36815.16
10/5/2024,Diesel,162,111.78,Card,Aurangabad,BP003,48,Car,4626,98.01,Sensor Error,3081.01,18108.36
5/6/2024,Petrol,227,93.64,Cash,Aurangabad,BP003,62,Car,1113,93.7,None,4640.88,21256.28
5/8/2024,CNG,459,99.08,UPI,Aurangabad,BP001,25,Auto,598,73.43,Sensor Error,2500.31,45477.72
2/27/2024,Petrol,291,105.97,UPI,Nagpur,BP001,37,Bike,1310,73.6,None,4445.18,30837.27
5/1/2024,Petrol,588,106.93,UPI,Nagpur,BP003,59,Car,3837,97.68,Leak,2270.33,62874.84
1/1/2024,CNG,374,108.02,UPI,Nashik,BP003,51,Truck,3199,72.44,Sensor Error,1386.13,40399.48
8/26/2024,Diesel,131,94.99,Cash,Nashik,BP002,21,Bike,1519,90.65,Low Pressure,4582.06,12443.69
10/16/2024,Diesel,569,101.39,Cash,Nashik,BP003,35,Auto,3525,76.8,None,1939.68,57690.91
4/5/2024,Petrol,102,108.52,Cash,Nashik,BP004,21,Truck,4028,71.06,None,2517.02,11069.04
5/5/2024,CNG,551,119.09,Cash,Pune,BP002,37,Car,4386,71.79,Low Pressure,1644.3,65618.59
4/27/2024,Diesel,178,111.83,UPI,Pune,BP004,26,Bike,3479,81.21,Leak,3314.19,19905.74
2/17/2024,Petrol,224,117.68,Card,Nashik,BP004,33,Truck,3840,72.33,Motor Fault,4975.16,26360.32
3/29/2024,CNG,244,112.87,Card,Nashik,BP004,43,Bike,1296,87.9,None,127.57,27540.28
8/24/2024,Diesel,253,107.75,UPI,Mumbai,BP003,55,Car,2457,89.42,Low Pressure,4499.24,27260.75
9/28/2024,Diesel,295,95.76,UPI,Pune,BP001,42,Bike,3566,81.2,Motor Fault,19.63,28249.2
7/7/2024,CNG,174,110,Card,Mumbai,BP001,21,Truck,3520,92.29,None,1821.14,19140
7/10/2024,CNG,127,108.7,Card,Mumbai,BP004,58,Bike,3180,84.7,Sensor Error,843.03,13804.9
3/9/2024,CNG,246,108.07,UPI,Aurangabad,BP003,62,Auto,4941,82.91,Low Pressure,3786.71,26585.22
10/4/2024,CNG,168,104.69,UPI,Nagpur,BP002,58,Auto,3448,82.21,Sensor Error,253.05,17587.92
12/14/2024,Petrol,42,105.86,Cash,Pune,BP004,55,Truck,4231,82.93,Leak,2767.42,4446.12
9/3/2024,CNG,160,100.03,Cash,Nashik,BP002,36,Bike,1601,99.04,Motor Fault,1474.63,16004.8
3/16/2024,Diesel,424,105.58,Card,Nashik,BP002,31,Truck,1537,90.44,Low Pressure,668.35,44765.92
6/2/2024,Diesel,77,95.93,UPI,Nagpur,BP003,38,Bike,4731,79.46,None,3859.09,7386.61
5/23/2024,Petrol,380,114.16,Card,Pune,BP003,32,Car,1291,92.02,None,1087.08,43380.8
3/26/2024,Diesel,60,95.57,Cash,Nashik,BP001,20,Auto,4674,79.91,Motor Fault,1118.38,5734.2
7/3/2024,Diesel,281,92.55,Cash,Nashik,BP001,54,Car,2278,73.77,Sensor Error,1375.38,26006.55
10/11/2024,CNG,494,103.09,Card,Aurangabad,BP003,63,Bike,1481,84.26,Sensor Error,2933.83,50926.46
8/7/2024,Diesel,342,109.75,Cash,Mumbai,BP004,33,Car,1765,92.53,Low Pressure,3298.33,37534.5
3/9/2024,Petrol,108,103.13,UPI,Nashik,BP001,31,Truck,1243,81.33,Low Pressure,88.01,11138.04
2/16/2024,CNG,168,98.3,Card,Pune,BP002,26,Truck,2931,96.08,Sensor Error,1209.35,16514.4
